"Sex","Age","NOTE","LHML","LHEB","LHHD","LHMLD","LHAPD","RHML","RHEB","RHHD","RHMLD","RHAPD","LRML","LRMLD","LRAPD","RRML","RRMLD","RRAPD","LFML","LFBL","LFEB","LFAB","LFHD","LFMLD","LFAPD","RFML","RFBL","RFEB","RFAB","RFHD","RFMLD","RFAPD","LTML","LTPB","LTMLD","LTAPD","RTML","RTPB","RTMLD","RTAPD","BIB","LIBL","RIBL","LAcH","RAcH","Brachial","Crural","IL UL/LL","IL LL/UL","CBR FHD","McH FHD","GRINE FHD","AVG FHD"
0,29,2,376,64,49.79,21.84,21.44,383,65.5,51.43,22.05,23.61,272,16.34,14.07,270.5,17.2,13.99,531,530,87,78.17,51.26,32.09,29.31,532.5,531,88,78.16,51.59,31.8,30.5,441,81,25.21,30.58,443,81.5,26.18,30.42,287,166,164,55.7,55.6,0.714756258,0.831217677,0.668292683,1.496350365,77.4503325,75.240575,80.1319,77.6076025
0,54,2,323.5,67.5,47.92,19.36,20.91,327,68,48.42,20.19,22.17,236,14.77,11.18,237.5,14.77,11.8,463,457.5,87.5,76.26,47.98,28.4,26.89,462,455,87,75.57,48.14,27.49,27.62,377,78,22.3,26.97,375,77.5,21.57,25.26,269,162,161,53.42,54.82,0.727901614,0.812972973,0.670244484,1.491992883,69.149214,67.70634,72.50008,69.78521133
0,45,2,325,62,39.47,23.54,22.23,343,66,45.41,24.02,24.64,248,16.06,12.68,248,15.75,14.07,469,466,82,73.33,48.66,28.75,28.55,468,463,83,73.32,48.74,28.84,29.59,390,79,25.48,29.59,390,77,24.86,26.87,299,166,166,55.94,54.75,0.74251497,0.83244397,0.677926616,1.475085911,70.72803,69.1393,73.9516,71.27297667
0,40,2,296,61,44.47,19.4,21.01,303,62,44.42,19.78,21.13,221,15.92,12.43,228,16.95,12.69,413,406,78,67.06,44.89,27.9,28.05,413,410,79,67.93,43.94,27.21,28.26,324,72,22.41,27.73,326,70.5,23.71,25.01,265,147,151,49.91,47.54,0.749582638,0.786924939,0.7100271,1.408396947,60.1573635,59.545185,64.23322,61.31192283
0,50,2,335,65,48.51,20.49,20.87,339,66,49.4,20.43,22.1,257.5,15.85,11.92,259,14.74,11.95,457,454.5,84.5,74.55,48.95,29.97,27.89,451,448.5,84.5,73.7,49.96,30.53,27.71,396,77,21.57,28.05,397,77.5,24.17,25.8,294,173,170,55.84,54.71,0.766320475,0.873348018,0.699882422,1.428811424,72.5905395,70.829745,75.66394,73.02807483
0,55,2,334.5,64.5,48.38,21.53,21.3,335.5,67,50.7,23.68,22.86,248,16.83,12.81,254,18.72,13.53,441,439,83,73.41,46.23,27.56,30.81,448,442,83,73.39,47.02,27.86,31.01,368,75,23.59,30.08,368,73,24.25,28.78,281,160,162,51.45,50.77,0.749253731,0.827896513,0.721230769,1.386518771,65.6092125,64.493375,69.2455,66.4493625
0,50,2,315,62,48.29,21.41,20.78,319,64,48,19.89,22.27,228,17.95,11.82,225.5,17.24,11.96,431,429,84,71.95,46.24,26.7,28.97,431,427.5,84,71.88,46.76,25.29,28.43,335.5,75,22.46,26.51,337,73,23.05,23.6,252,149,151,51.07,52.56,0.715299685,0.780162413,0.708699902,1.411034483,65.30085,64.2135,68.962,66.15878333
0,55,2,315.5,62,48.77,20.96,21.13,323,64.5,49.41,21.08,22.36,229.5,17.02,11.37,231.5,16.52,12.29,442,436,86,74.67,49.98,27.07,26.98,446.5,441,87,74.74,50.24,27.23,27.25,366,76,23.24,26.24,367,77.5,22.81,25.08,269.5,161,163,55.56,55.08,0.722004699,0.824985931,0.678075856,1.474761255,74.206359,72.29629,77.14948,74.55070967
1,69,2,309.5,55,42.43,17.85,19.25,313,57,43.24,17.81,20.75,209,14.6,9.93,213,15.48,9.97,438,433,76,67.4,42.63,25.14,22.38,433.5,430,76,65.83,42.48,26.44,24.6,333,67,18.74,23.48,331,66,20.65,22.12,293.5,170,173,47.33,46.7,0.677911647,0.761904762,0.680234451,1.470081379,61.324587,55.380645,60.01474,58.90665733
1,52,2,271,56,41.18,21.29,18.65,273,57,40.6,20.42,19.81,195,13.65,11.04,199,14.61,10.07,359,357.5,72,60.84,40.07,26.43,30.71,365,364,72,62.62,40.14,27.49,28.44,305,66,18.63,24.35,304,66,19.89,24.46,270,142,145,43.77,42.99,0.724264706,0.841160221,0.703675919,1.421108742,55.975257,49.895095,54.45814,53.44283067
